order_id,customer_id,order_date,product_id,quantity,price,channel,order_status
1,88,2024-01-01,104,1,57.75,web,completed
2,239,2024-01-01,182,2,25.28,store,completed
3,180,2024-01-01,139,2,115.65,mobile,completed
4,412,2024-01-01,181,2,110.29,web,completed
5,35,2024-01-01,79,1,108.2,store,completed
6,54,2024-01-01,109,1,62.77,mobile,completed
7,42,2024-01-01,130,1,13.99,web,completed
8,467,2024-01-01,37,1,55.96,store,completed
9,137,2024-01-01,164,3,144.3,mobile,completed
10,409,2024-01-01,147,3,65.3,mobile,completed
11,317,2024-01-01,171,2,27.17,web,completed
12,12,2024-01-01,181,1,112.33,mobile,returned
13,136,2024-01-01,2,1,115.79,mobile,returned
14,289,2024-01-01,70,1,128.15,web,completed
15,270,2024-01-01,4,2,204.84,store,completed
16,301,2024-01-01,139,3,20.71,mobile,completed
17,175,2024-01-01,15,2,26.16,store,completed
18,427,2024-01-01,161,1,58.98,store,completed
19,342,2024-01-01,20,1,53.08,store,completed
20,384,2024-01-01,22,1,14.7,web,completed
21,120,2024-01-01,163,1,52.84,store,completed
22,30,2024-01-01,15,1,56.17,web,completed
23,490,2024-01-01,9,1,259.69,web,completed
24,414,2024-01-01,119,2,56.15,store,completed
25,428,2024-01-01,85,2,13.9,store,completed
26,87,2024-01-01,129,2,120.16,mobile,completed
27,355,2024-01-01,49,2,56.92,mobile,completed
28,333,2024-01-01,139,3,28.68,web,completed
29,196,2024-01-01,176,1,61.93,mobile,completed
30,441,2024-01-01,170,3,129.85,mobile,completed
31,105,2024-01-01,186,2,70.19,mobile,completed
32,353,2024-01-01,173,2,283.54,store,completed
33,149,2024-01-01,85,1,52.51,web,completed
34,114,2024-01-01,170,1,130.73,web,completed
35,270,2024-01-01,109,1,109.29,mobile,completed
36,40,2024-01-01,27,2,12.8,mobile,completed
37,5,2024-01-01,134,1,12.67,web,completed
38,457,2024-01-01,146,1,210.27,web,completed
39,376,2024-01-01,200,2,133.06,web,completed
40,446,2024-01-02,54,1,234.06,web,completed
41,453,2024-01-02,112,3,143.45,store,completed
42,227,2024-01-02,35,1,127.44,mobile,completed
43,443,2024-01-02,20,2,298.17,store,completed
44,137,2024-01-02,192,1,261.73,store,completed
45,306,2024-01-02,30,3,102.11,web,completed
46,4,2024-01-02,178,1,101.8,mobile,completed
47,262,2024-01-02,50,1,21.63,store,cancelled
48,101,2024-01-02,182,1,27.06,store,completed
49,41,2024-01-02,177,1,137.62,store,completed
50,43,2024-01-02,15,2,136.91,store,completed
51,10,2024-01-02,185,1,251.34,store,completed
52,124,2024-01-02,46,3,131.69,store,completed
53,53,2024-01-02,107,1,26.64,web,completed
54,372,2024-01-02,25,3,236.93,mobile,completed
55,307,2024-01-02,44,1,70.97,store,completed
56,180,2024-01-02,165,3,59.24,web,completed
57,70,2024-01-02,91,2,231.73,mobile,completed
58,390,2024-01-02,12,3,11.49,store,completed
59,336,2024-01-02,116,1,20.97,web,completed
60,14,2024-01-02,197,1,67.65,store,completed
61,27,2024-01-02,136,1,62.0,web,completed
62,294,2024-01-02,40,1,283.85,mobile,completed
63,40,2024-01-02,85,1,70.09,mobile,completed
64,457,2024-01-02,77,1,27.21,mobile,completed
65,69,2024-01-02,43,1,229.36,store,returned
66,486,2024-01-02,115,3,217.99,mobile,completed
67,23,2024-01-02,147,1,133.13,mobile,completed
68,442,2024-01-02,104,3,204.24,mobile,completed
69,192,2024-01-02,87,3,12.64,web,completed
70,325,2024-01-02,100,2,24.22,web,completed
71,461,2024-01-03,76,2,117.46,web,completed
72,252,2024-01-03,194,1,134.76,mobile,completed
73,192,2024-01-03,128,1,52.73,store,completed
74,474,2024-01-03,200,1,11.1,mobile,returned
75,252,2024-01-03,180,1,14.52,mobile,completed
76,78,2024-01-03,111,1,137.17,store,completed
77,185,2024-01-03,108,1,107.93,mobile,completed
78,99,2024-01-03,122,1,12.35,store,completed
79,279,2024-01-03,123,1,290.27,store,completed
80,304,2024-01-03,12,1,22.03,store,completed
81,465,2024-01-03,88,2,67.34,web,returned
82,490,2024-01-03,187,1,12.16,mobile,completed
83,61,2024-01-03,105,3,131.55,store,returned
84,186,2024-01-03,144,3,10.38,store,completed
85,156,2024-01-03,49,3,11.05,web,completed
86,479,2024-01-03,50,3,11.02,web,completed
87,262,2024-01-03,103,1,123.08,web,completed
88,155,2024-01-03,174,2,62.38,web,completed
89,58,2024-01-03,48,1,29.9,store,returned
90,120,2024-01-03,6,1,14.94,store,completed
91,407,2024-01-03,7,2,65.7,mobile,completed
92,140,2024-01-03,153,1,201.53,web,completed
93,290,2024-01-03,16,1,260.72,mobile,completed
94,240,2024-01-04,66,3,10.74,web,completed
95,405,2024-01-04,68,1,63.96,web,completed
96,340,2024-01-04,41,1,62.87,store,returned
